id,title,object_id,object_name,other_number,place,date,description,photographer,people,search_terms,credit_line,url
55979,Young Pioneers in national costumes,K1999.001.944,"Print, Photographic",TOROSIAN_J_944-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",1939,"Young Pioneers in national costumes at the opening of their summer camp (Stalin collective farm, Stepanavan district).
Photokhronika TASS, 5470 (S. Fridlyan and A. Ioselevitsh, possibly the names of photographers).",Sovfoto,,"1930s
Young Pioneers
costumes
flags",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55979
39653,Armenian-Syrian Relief,L1986.004.002,"Print, Photographic","MANIGIAN, Hermine 2-86","New York City
New York
USA",1916,"Armenian-Syrian Relief “Tag Day”  Volunteer fundraisers, Haroutune and Vartanoosh Manigian beside their aunt, Aghavni Kazazian. New York City, 1916;",Unknown,"Manigian, Haroutune
Manigian, Vartanoosh
Kazazian, Aghavni","1910s
children
boys
girls
service organizations
Refugees
immigration
Genocide
Manigian family",Courtesy of Hermine Manigian,https://projectsave.catalogaccess.com/photos/39653
44180,K2018.012.002,K2018.012.002,"Print, Photographic",PANOSIAN_Roxanne_2-18,"New York City
New York
USA",1949,"Diocese of the Armenian Church, Fifitieth Dinner, Hotel Plaza, New York City
November 4, 1949","Standard Flashlight Co. for D'Arlene Studios, The Plaza",,"1940s
banquets
church",Courtesy of Roxanne Kapikian Panosian,https://projectsave.catalogaccess.com/photos/44180
48230,Revere Chapter of the HOG,K1999.001.228,"Print, Photographic",TOROSIAN_J_228-99,"Revere Beach
Revere
Massachusetts
USA",,"Revere Chapter of the HOG (Committee for Aid to Armenia) photographed by the Artcraft Studio (366 Broadway Revere, MA). Massachusetts, c. 1920-30s.",,,"men
political parties
politics
HOG Political Party
1920s
1930s",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48230
44181,K2018.012.003,K2018.012.003,"Print, Photographic",PANOSIAN_Roxanne_3-18,"New York City
New York
USA",1944,"Knights of Vartan Banquet, Hotel McAlpin, New York City, New York
May 28, 1944",Liberty Flashlight Co.,,"1940s
banquets
church",Courtesy of Roxanne Kapikian Panosian,https://projectsave.catalogaccess.com/photos/44181
48231,Fresno Chapter of the HOG,K1999.001.229,"Print, Photographic",TOROSIAN_J_229-99,"Fresno
California
USA",1931,"Fresno Chapter of the HOG (Committee for Aid to Armenia). Photographed by Royal Studio, Fresno, CA. 1931",Royal Studio,,"1930s
political parties
politics
men
HOG Political Party",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48231
55986,Vahram Papazian,K1999.001.951,"Print, Photographic",TOROSIAN_J_951-99,Soviet Armenia/USSR/Republic of Armenia,,Vahram Papazian. Armenian actor. c. 1950s.,,"Papazian, Vahram","work
men
theatre
portraits
1950s
Notables",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55986
39655,Oldest New Citizen,K1997.018.026,"Print, Photographic","KOUNDAKJIAN, Harry 26-97","Los Angeles
California
USA",1997,"Naturalization Ceremony, Los Angeles, California, 1997; AP photo by Kevork Djansezian.
Manik Bokchalian, born 1880 in Turkey, moved to the United States at age 99. In 1997, at age 117, she became a US citizen-the oldest new citizen ever in the USA.
Courtesy of Harry Koundakjian
Featured on the cover of our 2018 calendar, ""Our Armenian Journey""","Djansezian, Kevork","Bokchalian, Manik","1990s
naturalization
immigration
women
flag",Courtesy of Harry Koundakjian,https://projectsave.catalogaccess.com/photos/39655
44182,K2018.012.004,K2018.012.004,"Print, Photographic",PANOSIAN_Roxanne_4-18,"New York City
New York
USA",1957,"Bowling League Dinner, New York Photo Engravers, Mew York Trade Show Building
May 23, 1957",Liberty Flashlight Co.,,"banquets
1950s
recreation",Courtesy of Roxanne Kapikian Panosian,https://projectsave.catalogaccess.com/photos/44182
48235,Boston Chapter of the HOG,K1999.001.233,"Print, Photographic",TOROSIAN_J_233-99,"Boston
Massachusetts
USA",,"Boston Chapter of the HOG (Committee for Aid to Armenia). Massachusetts, c. 1920-30s.",,,"men
political parties
politics
HOG Political Party
1920s
1930s",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48235
55988,State Theatre of Leninakan,K1999.001.953,"Print, Photographic",TOROSIAN_J_953-99,"Soviet Armenia/USSR/Republic of Armenia
Gyumri/Leninakan/Alexandropol/Shirak Province/Russian Empire/USSR/Republic of Armenia",,"State Theatre of Leninakan, ""Ara Geghetsik"" Staging One, Scene V. Soviet Armenia. c. 1930s.",,"Papazian, Vahram","work
men
theatre
1930s
costumes",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55988
39656,St. Hagop church consecration,L1991.009.016,"Print, Photographic","DerMEKSIAN, Hripsime16-91","Racine
Wisconsin
USA",1974,"Racine Wisconsin; photo by John Bourchakian. December 1974
The faithful gather with their priest, Der Hayr (Very Rev.) Sempad DerMeksian, and deacons to consecrate the ground for St Hagop Armenian Apostolic Church. They are blessing 16 locations representing the 12 apostles and 4 saints Gregory, Paul, Luke, and John.
Courtesy of Yeretsgin (wife of priest) Hripsime Sarafian DerMeksian. Thanks to Koko (now Der Mesrob) Lakissian; and Denise Lansing, for documentation.","Bourchakian, John","DerMeksian, Sempad","1970s
clergy
Religion
consecration
church",Courtesy of Yeretsgin Hripsime Sarafian DerMeksian,https://projectsave.catalogaccess.com/photos/39656
55984,Bedros Atamian - K1999.001.949,,,,,,,,,,,https://projectsave.catalogaccess.com/photos/55984
39654,Howard Karagheusian Child Welfare Clinic - L1981.011.007,,,,,,,,,,,https://projectsave.catalogaccess.com/photos/39654
44184,"Annual Dinner, UMA (Union of Marash Armenians) New York Branch, 1949",K2021.010.086,"Print, Photographic",Chorbajian_Joyce 86-21,"New York City
New York
USA",1949,"Annual Dinner, UMA (Union of Marash Armenians) New York Branch
November 13, 1949",Knickerbocker Pictures,,"1940s
banquets
organization
reunion",From the Collection of the Joyce Chorbajian Family,https://projectsave.catalogaccess.com/photos/44184
48236,"Pontiac, Michigan chapter of the HOG",K1999.001.234,"Print, Photographic",TOROSIAN_J_234-99,"Michigan
USA",,"Pontiac, Michigan chapter of the HOG (Committee for Aid to Armenia). c. 1930s.",,,"women
men
children
political parties
politics
HOG Political Party",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48236
55989,State Theatre of Leninakan,K1999.001.954,"Print, Photographic",TOROSIAN_J_954-99,Soviet Armenia/USSR/Republic of Armenia,,"State Theatre of Leninakan. Janna Toumasian in the role of Shamiram (Semiramis) in ""Ara Geghetsik"". Soviet Armenia. c. 1930s.",,,"work
theatre
1930s
women
portraits
costumes",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55989
39662,Gevolanian family in Siberia,L2008.052.012,"Print, Photographic",JAMKOCHIAN_Zabel_12-08,"Siberia
Russian Empire
USSR
Russia",1955,"Siberia, Soviet Union, April 1955; photo by kind Russian neighbor; Gevolanian family in front of their one-room, thatched-roof home.
Soon after arriving in Soviet Armenia in 1949, the Gevolanians were exiled to Siberia due to Bedros' Tashnag membership in Aleppo. Medz Mayrig Zabel is seated in front next to son Bedros. Her granddaughter, Zabel (our photo donor), stands in back at very left. After Stalin's death in 1955, the family was allowed back to Armenia and this photograph was taken before they returned, but they had lost everything.
Front L-R:
1. Garbis Gevolanian
2. Costel Simonian
3. Bedros Gevolanian
4. Zabel Derghazarian
5. Ala
6. Mischa Burtavitsin (Russian friend, who worked for the railroads)
7. Liluna
8. unknown
Back, L-R:
9. Zabel Gevolanoan
10. Melisa Hamalian Gevolanoan
11. Simon Simonian
12. Mari Gevolanoan
13. Nadia
14. Mardiros Gevolanian",,"Gevolanian, Zabel Derghazarian
Gevolanian, Bedros
Gevolanian, Melisa
Jamkochian, Zabel Gevolanian","family group
political parties
politics
building
immigration
Refugees
1950s
repatriation",Courtesy of Zabel Gevolanian Jamkochian,https://projectsave.catalogaccess.com/photos/39662
44197,"Camp Hayastan, Franklin, MA, 1948",K2003.002.020,"Print, Photographic",DER PARSEGHIAN_V_20-03,"Franklin
Massachusetts
USA",1948,"Camp Hayastan, Franklin, MA, 1948
Four people identified in photograph are:
Osheen Baidzian, Margaret Nazaretian, Garo Kafayan (playing def), and Harry Shoghigian
Courtesy of Vahram Der Parseghian",,"Baidzian, Osheen
Nazaretian, Margaret
Kafayan, Garo
Shoghigian, Harry","music
musicians
1940s",Courtesy of Vahram Der Parseghian,https://projectsave.catalogaccess.com/photos/44197
55990,State Theatre of Leninakan,K1999.001.955,"Print, Photographic",TOROSIAN_J_955-99,Soviet Armenia/USSR/Republic of Armenia,,"State Theatre of Leninakan. ASSR (Armenian Soviet Socialist Republic) Meritorious Artist G. Harutiunian in the role of ""Ara Geghetsik."" Soviet Armenia. c. 1930s.",,,"work
theatre
1930s
portraits
costumes",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55990
39666,Ford stock car,L1983.060.041,"Print, Photographic","JAFFARIAN, Alice 41-83","Haverhill
Massachusetts
USA",1946,"Richard Jaffarian, right, with friends Gordon and Gerry Lovett and their souped-up 1934 Ford stock car, Haverhill, MA, c. 1946; photo by Homer CHASE.","Chase, Homer","Jaffarian, Richard","1940s
work
transportation
business
cars
vehicles",Courtesy of Alice Markarian Jaffarian,https://projectsave.catalogaccess.com/photos/39666
44204,ARF Convention,K2003.002.030,"Print, Photographic",DER PARSEGHIAN_V_30-03,,,"Garabed Lachinian sitting on floor 2nd row middle center, 5th from left, white shirt & tie
-Possible James Mandalian, lying in center front row laughing
-Dr. Hratch Abrahamian - 1st row seated white suit
-Vartkes Aharonian- 3rd in front row on the floor in
white shoes
-Seta Terzian- on knees 3rd from L first row
-Kourken Mekhitarian- sitting behind his daughter Seta Terzian
-John Der Hovanesian-front row seated right 2 nd
-Mardiros Kazanjian- 3rd standing from right dark glasses
-Ardash Yacobian- 2nd row 5th in going R to L
-Jirair Misakian- 2nd row, 3 rd in from the R
-Arthur Guiragosian- 3rd row left standing 7
-George Dermksian- 5th from L in the back row
Also identified in the photo;
Vart Shirvanian Hachigian
Popken Hachigian
Megerditch and Armineh Shirvanian
same as Manuelian_Takouhi 3-08",,,,Courtesy of Vahram Der Parseghian,https://projectsave.catalogaccess.com/photos/44204
48250,"HOG Chapter of Toledo, Ohio",K1999.001.249,"Print, Photographic",TOROSIAN_J_249-99,"Ohio
USA",,"HOG (Committee for Aid to Armenia) Chapter of Toledo, Ohio. c. 1940s.
People (L-R):
1. Com. M. Soghikian
2. Com. Hov. Voskerichian
3. Com. ?
4. D. Jemjemian
5. Com. G. Barbarian
6. Com. Kr. Yesayan
7. Com. Ms. Ghoushlashian
8. Vr. Yeghiayan",,,"men
political parties
politics
1940s
HOG Political Party",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48250
